Match Number,Round Number,Date,Location,Home Team,Away Team,Result
180,1,15/12/2018 20:00,Stade Auguste-Delaune,Stade de Reims,RC Strasbourg Alsace,2 - 1
179,1,16/12/2018 15:00,Stade des Costières,Nîmes Olympique,LOSC,2 - 3
178,1,16/12/2018 17:00,Allianz Riviera,OGC Nice,AS Saint-Etienne,1 - 1
175,1,16/12/2018 21:00,Parc Olympique Lyonnais,Olympique Lyonnais,AS Monaco,3 - 0
172,1,18/12/2018 19:30,Stade Michel d'Ornano,SM Caen,Toulouse FC,2 - 1
1,2,10/08/2018 20:45,Stade Vélodrome,Olympique de Marseille,Toulouse FC,4 - 0
2,2,11/08/2018 17:00,Stade de la Beaujoire,FC Nantes,AS Monaco,1 - 3
3,2,11/08/2018 20:00,Stade Raymond Kopa,Angers SCO,Nîmes Olympique,3 - 4
4,2,11/08/2018 20:00,Stade Pierre-Mauroy,LOSC,Stade Rennais FC,3 - 1
5,2,11/08/2018 20:00,Stade de la Mosson,Montpellier Hérault SC,Dijon FCO,1 - 2
6,2,11/08/2018 20:00,Allianz Riviera,OGC Nice,Stade de Reims,0 - 1
7,2,11/08/2018 20:00,Stade Geoffroy-Guichard,AS Saint-Etienne,EA Guingamp,2 - 1
8,2,12/08/2018 15:00,Parc Olympique Lyonnais,Olympique Lyonnais,Amiens SC,2 - 0
9,2,12/08/2018 17:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,RC Strasbourg Alsace,0 - 2
10,2,12/08/2018 21:00,Parc des Princes,Paris Saint-Germain,SM Caen,3 - 0
11,3,17/08/2018 20:45,Stade Auguste-Delaune,Stade de Reims,Olympique Lyonnais,1 - 0
12,3,18/08/2018 17:00,Stade de Roudourou,EA Guingamp,Paris Saint-Germain,1 - 3
13,3,18/08/2018 20:00,Stade de la Licorne,Amiens SC,Montpellier Hérault SC,1 - 2
14,3,18/08/2018 20:00,Stade Michel d'Ornano,SM Caen,OGC Nice,1 - 1
15,3,18/08/2018 20:00,Stade Gaston Gérard,Dijon FCO,FC Nantes,2 - 0
16,3,18/08/2018 20:00,Stade Louis II,AS Monaco,LOSC,0 - 0
17,3,18/08/2018 20:00,Roazhon Park,Stade Rennais FC,Angers SCO,1 - 0
18,3,19/08/2018 15:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Etienne,1 - 1
19,3,19/08/2018 17:00,Stadium Municipal,Toulouse FC,Girondins de Bordeaux,2 - 1
20,3,19/08/2018 21:00,Stade des Costières,Nîmes Olympique,Olympique de Marseille,3 - 1
