Match Number,Round Number,Date,Location,Home Team,Away Team,Result
98,10,07/11/2020 21:00,Parc des Princes,Paris Saint-Germain,Stade Rennais FC,3 - 0
92,10,08/11/2020 13:00,Stade Francis-Le Blé,Stade Brestois 29,LOSC,3 - 2
93,10,08/11/2020 15:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,4 - 4
94,10,08/11/2020 15:00,Stade du Moustoir,FC Lorient,FC Nantes,0 - 2
95,10,08/11/2020 15:00,Stade Saint-Symphorien,FC Metz,Dijon FCO,1 - 1
97,10,08/11/2020 15:00,Stade des Costières,Nîmes Olympique,Angers SCO,1 - 5
96,10,08/11/2020 17:00,Allianz Riviera,OGC Nice,AS Monaco,1 - 2
100,10,08/11/2020 21:00,Groupama Stadium,Olympique Lyonnais,AS Saint-Etienne,2 - 1
110,11,20/11/2020 19:00,Roazhon Park,Stade Rennais FC,Girondins de Bordeaux,0 - 1
106,11,20/11/2020 21:00,Stade Louis II,AS Monaco,Paris Saint-Germain,3 - 2
102,11,21/11/2020 21:00,Stade Francis-Le Blé,Stade Brestois 29,AS Saint-Etienne,4 - 1
108,11,22/11/2020 13:00,Stade de la Beaujoire,FC Nantes,FC Metz,1 - 1
103,11,22/11/2020 15:00,Stade Gaston Gérard,Dijon FCO,RC Lens,0 - 1
107,11,22/11/2020 15:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,4 - 3
109,11,22/11/2020 15:00,Stade Auguste Delaune,Stade de Reims,Nîmes Olympique,0 - 1
101,11,22/11/2020 17:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,0 - 1
104,11,22/11/2020 21:00,Stade Pierre-Mauroy,LOSC,FC Lorient,4 - 0
73,11,25/11/2020 19:00,Stade Bollaert-Delelis,RC Lens,FC Nantes,1 - 1
120,12,27/11/2020 21:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,1 - 1
114,12,28/11/2020 17:00,Orange Vélodrome,Olympique de Marseille,FC Nantes,3 - 1
118,12,28/11/2020 21:00,Parc des Princes,Paris Saint-Germain,Girondins de Bordeaux,2 - 2
113,12,29/11/2020 13:00,Groupama Stadium,Olympique Lyonnais,Stade de Reims,3 - 0
111,12,29/11/2020 15:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,1 - 3
112,12,29/11/2020 15:00,Stade du Moustoir,FC Lorient,Montpellier Hérault SC,0 - 1
115,12,29/11/2020 15:00,Stade Saint-Symphorien,FC Metz,Stade Brestois 29,0 - 2
116,12,29/11/2020 15:00,Stade Louis II,AS Monaco,Nîmes Olympique,3 - 0
117,12,29/11/2020 17:00,Allianz Riviera,OGC Nice,Dijon FCO,1 - 3
119,12,29/11/2020 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,LOSC,1 - 1
128,13,04/12/2020 21:00,Stade des Costières,Nîmes Olympique,Olympique de Marseille,0 - 2
130,13,05/12/2020 17:00,Roazhon Park,Stade Rennais FC,RC Lens,0 - 2
