Match Number,Round Number,Date,Location,Home Team,Away Team,Result
304,31,04/04/2021 15:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,1 - 0
307,31,04/04/2021 15:00,Stade de la Beaujoire,FC Nantes,OGC Nice,1 - 2
310,31,04/04/2021 15:00,Stade Auguste Delaune,Stade de Reims,Stade Rennais FC,2 - 2
308,31,04/04/2021 17:05,Stade des Costières,Nîmes Olympique,AS Saint-Etienne,0 - 2
305,31,04/04/2021 21:00,Orange Vélodrome,Olympique de Marseille,Dijon FCO,2 - 0
314,32,09/04/2021 21:00,Stade Saint-Symphorien,FC Metz,LOSC,0 - 2
320,32,10/04/2021 17:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,1 - 4
316,32,10/04/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Olympique de Marseille,3 - 3
318,32,11/04/2021 13:00,Roazhon Park,Stade Rennais FC,FC Nantes,1 - 0
311,32,11/04/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Nîmes Olympique,1 - 1
312,32,11/04/2021 15:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,4 - 1
317,32,11/04/2021 15:00,Allianz Riviera,OGC Nice,Stade de Reims,0 - 0
319,32,11/04/2021 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Girondins de Bordeaux,4 - 1
315,32,11/04/2021 17:05,Stade Louis II,AS Monaco,Dijon FCO,3 - 0
313,32,11/04/2021 21:00,Groupama Stadium,Olympique Lyonnais,Angers SCO,3 - 0
325,33,16/04/2021 21:00,Stade Pierre-Mauroy,LOSC,Montpellier Hérault SC,1 - 1
321,33,17/04/2021 12:45,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,0 - 3
326,33,17/04/2021 17:00,Orange Vélodrome,Olympique de Marseille,FC Lorient,3 - 2
329,33,18/04/2021 13:00,Parc des Princes,Paris Saint-Germain,AS Saint-Etienne,3 - 2
323,33,18/04/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,1 - 1
324,33,18/04/2021 15:00,Stade Gaston Gérard,Dijon FCO,OGC Nice,2 - 0
328,33,18/04/2021 15:00,Stade des Costières,Nîmes Olympique,RC Strasbourg Alsace,1 - 1
330,33,18/04/2021 15:00,Stade Auguste Delaune,Stade de Reims,FC Metz,0 - 0
322,33,18/04/2021 17:05,Matmut Atlantique,Girondins de Bordeaux,AS Monaco,0 - 3
327,33,18/04/2021 21:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,1 - 2
337,34,23/04/2021 21:00,Stade Auguste Delaune,Stade de Reims,Olympique de Marseille,1 - 3
339,34,24/04/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade Brestois 29,1 - 2
335,34,24/04/2021 17:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,1 - 3
336,34,25/04/2021 13:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,3 - 1
332,34,25/04/2021 15:00,Stade Bollaert-Delelis,RC Lens,Nîmes Olympique,2 - 1
333,34,25/04/2021 15:00,Stade du Moustoir,FC Lorient,Girondins de Bordeaux,4 - 1
338,34,25/04/2021 15:00,Roazhon Park,Stade Rennais FC,Dijon FCO,5 - 1
340,34,25/04/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 2
331,34,25/04/2021 17:05,Stade Raymond Kopa,Angers SCO,AS Monaco,0 - 1
334,34,25/04/2021 21:00,Groupama Stadium,Olympique Lyonnais,LOSC,2 - 3
346,35,30/04/2021 21:00,Orange Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,1 - 1
350,35,01/05/2021 17:00,Parc des Princes,Paris Saint-Germain,RC Lens,2 - 1
344,35,01/05/2021 21:00,Stade Pierre-Mauroy,LOSC,OGC Nice,2 - 0
341,35,02/05/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,Stade Rennais FC,1 - 0
342,35,02/05/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,1 - 4
343,35,02/05/2021 15:00,Stade Gaston Gérard,Dijon FCO,FC Metz,1 - 5
345,35,02/05/2021 15:00,Stade du Moustoir,FC Lorient,Angers SCO,2 - 0
349,35,02/05/2021 15:00,Stade des Costières,Nîmes Olympique,Stade de Reims,2 - 2
348,35,02/05/2021 17:05,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Etienne,1 - 2
347,35,02/05/2021 21:00,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 3
352,36,07/05/2021 21:00,Stade Bollaert-Delelis,RC Lens,LOSC,0 - 3
355,36,08/05/2021 13:00,Stade de la Beaujoire,FC Nantes,Girondins de Bordeaux,3 - 0
353,36,08/05/2021 17:00,Groupama Stadium,Olympique Lyonnais,FC Lorient,4 - 1
359,36,09/05/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique de Marseille,1 - 0
351,36,09/05/2021 15:00,Stade Raymond Kopa,Angers SCO,Dijon FCO,3 - 0
354,36,09/05/2021 15:00,Stade Saint-Symphorien,FC Metz,Nîmes Olympique,0 - 3
356,36,09/05/2021 15:00,Allianz Riviera,OGC Nice,Stade Brestois 29,3 - 2
360,36,09/05/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,2 - 3
357,36,09/05/2021 17:05,Stade Auguste Delaune,Stade de Reims,AS Monaco,0 - 1
358,36,09/05/2021 21:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,1 - 1
361,37,16/05/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,RC Lens,3 - 0
362,37,16/05/2021 21:00,Stade Gaston Gérard,Dijon FCO,FC Nantes,0 - 4
363,37,16/05/2021 21:00,Stade Pierre-Mauroy,LOSC,AS Saint-Etienne,0 - 0
364,37,16/05/2021 21:00,Stade du Moustoir,FC Lorient,FC Metz,2 - 1
365,37,16/05/2021 21:00,Orange Vélodrome,Olympique de Marseille,Angers SCO,3 - 2
366,37,16/05/2021 21:00,Stade Louis II,AS Monaco,Stade Rennais FC,2 - 1
367,37,16/05/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Stade Brestois 29,0 - 0
368,37,16/05/2021 21:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,0 - 2
369,37,16/05/2021 21:00,Stade des Costières,Nîmes Olympique,Olympique Lyonnais,2 - 5
370,37,16/05/2021 21:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,4 - 0
371,38,23/05/2021 21:00,Stade Raymond Kopa,Angers SCO,LOSC,
372,38,23/05/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,
373,38,23/05/2021 21:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,
374,38,23/05/2021 21:00,Groupama Stadium,Olympique Lyonnais,OGC Nice,
375,38,23/05/2021 21:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,
376,38,23/05/2021 21:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,
377,38,23/05/2021 21:00,Stade Auguste Delaune,Stade de Reims,Girondins de Bordeaux,
378,38,23/05/2021 21:00,Roazhon Park,Stade Rennais FC,Nîmes Olympique,
379,38,23/05/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Dijon FCO,
380,38,23/05/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,
