Match Number,Round Number,Date,Location,Home Team,Away Team,Result
285,29,31/03/2019 20:30,Stadio Giuseppe Meazza,Inter,Lazio,0 - 1
296,30,02/04/2019 19:00,Stadio Giuseppe Meazza,Milan,Udinese,1 - 1
292,30,02/04/2019 21:00,Sardegna Arena,Cagliari,Juventus,0 - 2
293,30,03/04/2019 19:00,Stadio Carlo Castellani,Empoli,Napoli,2 - 1
294,30,03/04/2019 21:00,Stadio Benito Stirpe,Frosinone,Parma,3 - 2
295,30,03/04/2019 21:00,Stadio Luigi Ferraris,Genoa,Inter,0 - 4
297,30,03/04/2019 21:00,Stadio Olimpico,Roma,Fiorentina,2 - 2
299,30,03/04/2019 21:00,Stadio Paolo Mazza,Spal,Lazio,1 - 0
300,30,03/04/2019 21:00,Stadio Olimpico Grande Torino,Torino,Sampdoria,2 - 1
298,30,04/04/2019 19:00,Mapei Stadium – Città del Tricolore,Sassuolo,Chievoverona,4 - 0
291,30,04/04/2019 21:00,Stadio Atleti Azzurri d'Italia,Atalanta,Bologna,4 - 1
307,31,06/04/2019 15:00,Stadio Ennio Tardini,Parma,Torino,0 - 0
308,31,06/04/2019 18:00,Stadio Luigi Ferraris,Sampdoria,Roma,0 - 1
310,31,06/04/2019 18:00,Allianz Stadium,Juventus,Milan,2 - 1
303,31,07/04/2019 12:30,Stadio Artemio Franchi,Fiorentina,Frosinone,0 - 1
302,31,07/04/2019 15:00,Sardegna Arena,Cagliari,Spal,2 - 1
309,31,07/04/2019 15:00,Stadio Friuli,Udinese,Empoli,3 - 2
304,31,07/04/2019 18:00,Stadio Giuseppe Meazza,Inter,Atalanta,0 - 0
305,31,07/04/2019 18:00,Stadio Olimpico,Lazio,Sassuolo,2 - 2
306,31,07/04/2019 20:30,Stadio San Paolo,Napoli,Genoa,1 - 1
301,31,08/04/2019 20:30,Stadio Renato Dall'Ara,Bologna,Chievoverona,3 - 0
319,32,13/04/2019 15:00,Stadio Paolo Mazza,Spal,Juventus,2 - 1
316,32,13/04/2019 18:00,Stadio Olimpico,Roma,Udinese,1 - 0
315,32,13/04/2019 20:30,Stadio Giuseppe Meazza,Milan,Lazio,1 - 0
320,32,14/04/2019 12:30,Stadio Olimpico Grande Torino,Torino,Cagliari,1 - 1
313,32,14/04/2019 15:00,Stadio Artemio Franchi,Fiorentina,Bologna,0 - 0
317,32,14/04/2019 15:00,Stadio Luigi Ferraris,Sampdoria,Genoa,2 - 0
318,32,14/04/2019 15:00,Mapei Stadium – Città del Tricolore,Sassuolo,Parma,0 - 0
312,32,14/04/2019 18:00,Stadio Marc'Antonio Bentegodi,Chievoverona,Napoli,1 - 3
314,32,14/04/2019 20:30,Stadio Benito Stirpe,Frosinone,Inter,1 - 3
311,32,15/04/2019 20:30,Stadio Atleti Azzurri d'Italia,Atalanta,Empoli,0 - 0
245,32,17/04/2019 19:00,Stadio Olimpico,Lazio,Udinese,2 - 0
328,33,20/04/2019 12:30,Stadio Ennio Tardini,Parma,Milan,1 - 1
321,33,20/04/2019 15:00,Stadio Renato Dall'Ara,Bologna,Sampdoria,3 - 0
322,33,20/04/2019 15:00,Sardegna Arena,Cagliari,Frosinone,1 - 0
323,33,20/04/2019 15:00,Stadio Carlo Castellani,Empoli,Spal,2 - 4
324,33,20/04/2019 15:00,Stadio Luigi Ferraris,Genoa,Torino,0 - 1
326,33,20/04/2019 15:00,Stadio Olimpico,Lazio,Chievoverona,1 - 2
