Round Number,Date,Location,Home Team,Away Team,Result
16,20/12/2020 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Nîmes Olympique,2 - 2
16,20/12/2020 15:00,Stade de la Meinau,RC Strasbourg Alsace,Girondins de Bordeaux,0 - 2
16,20/12/2020 17:00,Stade du Moustoir,FC Lorient,Stade Rennais FC,0 - 3
16,20/12/2020 21:00,Stade Pierre-Mauroy,LOSC,Paris Saint-Germain,0 - 0
17,23/12/2020 19:00,Matmut Atlantique,Girondins de Bordeaux,Stade de Reims,1 - 3
17,23/12/2020 19:00,Stade Bollaert-Delelis,RC Lens,Stade Brestois 29,2 - 1
17,23/12/2020 19:00,Allianz Riviera,OGC Nice,FC Lorient,2 - 2
17,23/12/2020 19:00,Stade des Costières,Nîmes Olympique,Dijon FCO,1 - 3
17,23/12/2020 19:00,Roazhon Park,Stade Rennais FC,FC Metz,1 - 0
17,23/12/2020 21:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,2 - 1
17,23/12/2020 21:00,Groupama Stadium,Olympique Lyonnais,FC Nantes,3 - 0
17,23/12/2020 21:00,Stade Louis II,AS Monaco,AS Saint-Etienne,2 - 2
17,23/12/2020 21:00,Stade de la Mosson,Montpellier Hérault SC,LOSC,2 - 3
17,23/12/2020 21:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,4 - 0
18,06/01/2021 19:00,Stade Francis-Le Blé,Stade Brestois 29,OGC Nice,2 - 0
18,06/01/2021 19:00,Stade du Moustoir,FC Lorient,AS Monaco,2 - 5
18,06/01/2021 19:00,Stade Saint-Symphorien,FC Metz,Girondins de Bordeaux,0 - 0
18,06/01/2021 19:00,Stade de la Beaujoire,FC Nantes,Stade Rennais FC,0 - 0
18,06/01/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,Nîmes Olympique,5 - 0
18,06/01/2021 21:00,Stade Pierre-Mauroy,LOSC,Angers SCO,1 - 2
18,06/01/2021 21:00,Groupama Stadium,Olympique Lyonnais,RC Lens,3 - 2
18,06/01/2021 21:00,Orange Vélodrome,Olympique de Marseille,Montpellier Hérault SC,3 - 1
