Round Number,Date,Location,Home Team,Away Team,Result
31,04/04/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,RC Strasbourg Alsace,
31,04/04/2021 21:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,
31,04/04/2021 21:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,
31,04/04/2021 21:00,Orange Vélodrome,Olympique de Marseille,Dijon FCO,
31,04/04/2021 21:00,Stade Louis II,AS Monaco,FC Metz,
31,04/04/2021 21:00,Stade de la Beaujoire,FC Nantes,OGC Nice,
31,04/04/2021 21:00,Stade des Costières,Nîmes Olympique,AS Saint-Etienne,
31,04/04/2021 21:00,Parc des Princes,Paris Saint-Germain,LOSC,
31,04/04/2021 21:00,Stade Auguste Delaune,Stade de Reims,Stade Rennais FC,
32,11/04/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,Nîmes Olympique,
32,11/04/2021 21:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,
32,11/04/2021 21:00,Groupama Stadium,Olympique Lyonnais,Angers SCO,
32,11/04/2021 21:00,Stade Saint-Symphorien,FC Metz,LOSC,
32,11/04/2021 21:00,Stade Louis II,AS Monaco,Dijon FCO,
32,11/04/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Olympique de Marseille,
32,11/04/2021 21:00,Allianz Riviera,OGC Nice,Stade de Reims,
32,11/04/2021 21:00,Roazhon Park,Stade Rennais FC,FC Nantes,
32,11/04/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Girondins de Bordeaux,
32,11/04/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,
33,18/04/2021 13:00,Parc des Princes,Paris Saint-Germain,AS Saint-Etienne,
33,18/04/2021 21:00,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,
33,18/04/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,AS Monaco,
33,18/04/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,
33,18/04/2021 21:00,Stade Gaston Gérard,Dijon FCO,OGC Nice,
33,18/04/2021 21:00,Stade Pierre-Mauroy,LOSC,Montpellier Hérault SC,
33,18/04/2021 21:00,Orange Vélodrome,Olympique de Marseille,FC Lorient,
33,18/04/2021 21:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,
33,18/04/2021 21:00,Stade des Costières,Nîmes Olympique,RC Strasbourg Alsace,
33,18/04/2021 21:00,Stade Auguste Delaune,Stade de Reims,FC Metz,
34,25/04/2021 21:00,Stade Raymond Kopa,Angers SCO,AS Monaco,
34,25/04/2021 21:00,Stade Bollaert-Delelis,RC Lens,Nîmes Olympique,
34,25/04/2021 21:00,Stade du Moustoir,FC Lorient,Girondins de Bordeaux,
34,25/04/2021 21:00,Groupama Stadium,Olympique Lyonnais,LOSC,
34,25/04/2021 21:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,
34,25/04/2021 21:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,
